,fromlong,fromlat,tolong,tolat
255,40.64471,-73.78192,40.64471,-73.78192
256,40.75122,-73.99417,40.7513,-73.99403
257,40.75064,-73.99445,40.75098,-73.99423
258,40.77405,-73.8731,40.77416,-73.87306
259,40.75109,-73.99419,40.75117,-73.99399
260,40.77354,-73.96002,40.77354,-73.96002
261,40.77406,-73.87306,40.77409,-73.87316
262,40.75102,-73.99417,40.75115,-73.99411
263,40.75114,-73.99401,40.7512,-73.99416
264,40.7499,-73.99134,40.75001,-73.99166
265,40.7737,-73.87081,40.7737,-73.87081
266,40.77907,-73.9623,40.77922,-73.96218
267,40.77907,-73.96221,40.77915,-73.96221
268,40.75102,-73.9942,40.75117,-73.99405
269,40.74996,-73.99153,40.75014,-73.99137
270,40.75101,-73.9942,40.75112,-73.99414
271,40.76042,-74.00286,40.76054,-74.0028
272,40.76982,-73.86363,40.76982,-73.86363
273,40.75062,-73.99452,40.75063,-73.99452
274,40.77412,-73.87301,40.77417,-73.8731
275,40.76052,-74.00286,40.76057,-74.00279
276,40.77373,-73.87071,40.77376,-73.87084
277,40.73958,-74.00257,40.73989,-74.00231
278,40.75115,-73.99407,40.7512,-73.99416
279,40.76979,-73.86353,40.76993,-73.86322
280,40.77406,-73.87303,40.77412,-73.8731
281,40.75104,-73.99403,40.75118,-73.9941
282,40.77904,-73.96224,40.77906,-73.96228
283,40.64464,-73.78231,40.64469,-73.78177
284,40.7741,-73.87301,40.77413,-73.87306
285,40.74998,-73.9914,40.75019,-73.99154
286,40.75099,-73.99426,40.75122,-73.99403
287,40.77402,-73.87297,40.7741,-73.87313
288,40.75014,-73.9914,40.75033,-73.99147
289,40.77378,-73.87095,40.77381,-73.87097
290,40.77408,-73.87303,40.7741,-73.87307
291,40.74993,-73.99157,40.74995,-73.9915
292,40.74998,-73.99156,40.75001,-73.99142
293,40.74998,-73.99153,40.75004,-73.99127
294,40.7741,-73.87301,40.77413,-73.87303
295,40.75111,-73.99416,40.75111,-73.99398
296,40.74088,-74.00759,40.7409,-74.00762
297,40.75112,-73.99414,40.75117,-73.99406
298,40.75117,-73.99418,40.7512,-73.99406
299,40.75231,-73.97814,40.75231,-73.97814
300,40.75004,-73.99127,40.75022,-73.99134
301,40.76412,-73.95426,40.76412,-73.95426
302,40.75606,-73.99079,40.75624,-73.99047
303,40.7736,-73.87075,40.77362,-73.87064
304,40.77371,-73.87091,40.77381,-73.8709
305,40.77402,-73.87287,40.77412,-73.873
306,40.77362,-73.87068,40.77376,-73.87094
307,40.75117,-73.99416,40.7513,-73.99404
308,40.76047,-74.00283,40.7606,-74.00276
309,40.77407,-73.8732,40.77416,-73.873
310,40.77411,-73.87313,40.7742,-73.87296
311,40.64463,-73.78195,40.64471,-73.78211
312,40.74018,-74.00585,40.74023,-74.00579
313,40.75102,-73.99423,40.75112,-73.99408
314,40.7512,-73.99406,40.7512,-73.99404
315,40.74993,-73.99137,40.75016,-73.99141
316,40.77397,-73.87284,40.77412,-73.87294
317,40.75098,-73.99423,40.75099,-73.99411
318,40.77399,-73.87303,40.77408,-73.87306
319,40.75101,-73.9942,40.75102,-73.99418
320,40.75099,-73.99423,40.75116,-73.99409
321,40.74972,-73.9916,40.74982,-73.9916
322,40.75096,-73.99427,40.7513,-73.9941
323,40.77367,-73.87088,40.77386,-73.87093
324,40.75122,-73.99404,40.75125,-73.994
325,40.76979,-73.86328,40.76992,-73.86354
326,40.77896,-73.96231,40.77912,-73.96228
327,40.75228,-73.97785,40.75236,-73.97821
328,40.77362,-73.87072,40.77366,-73.87081
329,40.77907,-73.96231,40.77907,-73.96231
330,40.75096,-73.99427,40.75121,-73.99411
331,40.64463,-73.78199,40.64471,-73.78182
332,40.75114,-73.99408,40.75117,-73.99399
333,40.7499,-73.99163,40.75003,-73.99153
334,40.77415,-73.87311,40.77415,-73.8731
335,40.75106,-73.99411,40.75112,-73.99416
336,40.75117,-73.99416,40.75125,-73.99401
337,40.77399,-73.87277,40.77413,-73.87322
338,40.75064,-73.99445,40.75099,-73.99426
339,40.77402,-73.87294,40.77416,-73.87322
340,40.73992,-74.00601,40.73992,-74.00601
341,40.77906,-73.96234,40.77914,-73.96218
342,40.77406,-73.87306,40.77416,-73.87304
343,40.75008,-73.9916,40.75017,-73.99143
344,40.75099,-73.99417,40.75107,-73.99413
345,40.74993,-73.99146,40.75004,-73.99144
346,40.74974,-73.99134,40.75009,-73.99134
347,40.76976,-73.86341,40.76993,-73.86321
348,40.77399,-73.87303,40.77417,-73.87306
349,40.75009,-73.99166,40.7503,-73.9914
350,40.7502,-73.99137,40.75027,-73.99134
351,40.77907,-73.96231,40.77912,-73.96224
352,40.77402,-73.87295,40.7742,-73.87297
353,40.64472,-73.78199,40.64479,-73.78192
354,40.75109,-73.9942,40.75133,-73.99398
355,40.7736,-73.87075,40.77378,-73.87095
356,40.75605,-73.9906,40.75625,-73.99047
357,40.75014,-73.99131,40.75022,-73.99134
358,40.75242,-73.97814,40.75244,-73.97792
359,40.75104,-73.99408,40.75122,-73.99408
360,40.64469,-73.78204,40.64471,-73.7819
361,40.75101,-73.9942,40.7512,-73.99417
362,40.7499,-73.99134,40.75017,-73.9915
363,40.64458,-73.78224,40.64471,-73.7818
364,40.75119,-73.99416,40.75126,-73.99411
365,40.75601,-73.99057,40.75611,-73.99047
366,40.64463,-73.78195,40.64468,-73.78202
367,40.77365,-73.87068,40.77367,-73.87088
368,40.74985,-73.99172,40.74993,-73.99149
369,40.74983,-73.9914,40.75001,-73.99124
370,40.77402,-73.87307,40.77421,-73.87313
371,40.75611,-73.99047,40.75619,-73.99028
372,40.73971,-74.00617,40.73971,-74.00617
373,40.75001,-73.99134,40.75011,-73.99137
374,40.77405,-73.87293,40.7741,-73.87294
375,40.64751,-73.77912,40.64751,-73.77912
376,40.75104,-73.9941,40.75146,-73.99404
377,40.75008,-73.99147,40.75008,-73.99147
378,40.77403,-73.87303,40.77407,-73.87315
379,40.74979,-73.99156,40.75014,-73.99137
380,40.74985,-73.99163,40.74985,-73.99163
381,40.75101,-73.99418,40.7512,-73.99417
382,40.74003,-74.00598,40.74008,-74.00592
383,40.77377,-73.87088,40.77378,-73.87088
384,40.74985,-73.99172,40.74985,-73.99172
385,40.77381,-73.87097,40.77381,-73.87097
386,40.7429,-74.00016,40.7429,-74.00016
387,40.74977,-73.9915,40.75012,-73.9915
388,40.75106,-73.9941,40.7512,-73.994
389,40.77418,-73.87299,40.7742,-73.87296
390,40.74052,-74.00566,40.74071,-74.00547
391,40.75,-73.99153,40.75011,-73.99146
